gene_name	A2780_rep1	A2780_rep2	A2780_rep3	Acis_rep1	Acis_rep2	Acis_rep3
NUP85	597	566	504	603	572	550
SLC25A19	192	174	181	295	270	231
MIF4GD	120	107	97	127	120	121
NT5C	240	211	197	204	203	169
MSTO1	149	151	142	202	211	188
MIR9-1HG	2	2	3	21	23	12
TTF1	317	317	282	254	250	256
GTF3C4	1426	1341	1177	1275	1355	1228
DDX31	422	410	398	419	424	380
PPP1R12C	505	445	445	446	417	357
MBOAT7	597	644	567	636	594	554
OPRL1	9	18	14	10	5	6
SLC2A4RG	662	611	576	656	606	570
PPDPF	328	337	312	319	305	280
CHCHD5	63	68	71	70	77	61
INSIG2	307	313	274	27	39	24
POLR1B	990	1002	903	968	992	884
CCDC93	702	685	632	476	441	440
PSD4	6	9	7	10	9	16
SLC25A23	709	695	624	878	818	763
PSPN	42	52	40	35	28	31
GTF2F1	763	724	687	701	653	599
ALKBH7	165	147	147	161	149	129
CLPP	338	334	298	354	334	319
TNFSF9	81	73	50	85	88	72
GRIA3	23	28	25	2	3	1
THOC2	1277	1231	1109	1135	1226	1172
MED1	1639	1582	1489	1379	1385	1346
RPL23	544	510	462	480	517	477
ATG4C	116	90	93	75	88	91
CD70	45	51	58	299	286	256
C3	11	14	13	17	10	20
SH2D3A	0	0	1	9	13	13
TRIP10	333	337	262	420	350	379
GPR108	246	235	191	264	240	239
FOSB	67	89	86	66	50	59
OPA3	381	364	363	292	309	294
SNRPD2	317	304	279	285	283	279
RTN2	183	203	147	68	59	46
EML2	343	301	295	237	218	201
VASP	880	847	736	718	671	605
SYMPK	1347	1276	1132	1127	999	942
GPCPD1	339	349	292	167	173	190
SDCBP2	2	2	1	6	1	1
PANK2	414	435	375	387	402	374
GNRH2	3	4	5	5	5	4
GZF1	382	368	342	268	267	265
PAX1	0	0	0	2	3	3
NAPB	124	117	99	92	130	100
CENPB	642	624	561	877	857	758
PSMF1	671	637	587	777	724	733
NKX2-2	3	2	2	0	0	0
DTD1	129	133	123	102	100	93
RBCK1	529	519	485	571	524	466
TMX4	274	232	205	576	624	563
STK35	820	818	676	910	829	791
SNRPB	469	457	412	502	509	470
NRSN2	433	422	351	316	276	289
AP5S1	117	88	100	123	131	116
RRBP1	1060	1050	884	1407	1224	1216
BMP2	1	0	1	10	8	6
ZNF133	202	177	164	182	167	156
FLRT3	391	370	340	2	2	2
MKKS	161	126	130	167	175	140
BFSP1	11	13	15	5	7	6
DSTN	603	578	536	405	452	381
SNRPB2	348	338	304	292	302	282
MGME1	361	379	317	308	334	303
LRRN4	1	2	0	0	0	0
TBC1D20	488	463	455	653	619	638
ITPA	236	238	209	299	309	294
TCF15	16	15	20	56	51	35
OTOR	1	3	2	0	1	1
MCM8	373	348	322	477	445	459
TMEM74B	11	5	7	5	8	3
FAM110A	35	35	29	115	83	94
MRPS26	378	358	315	408	388	367
NCLN	966	951	827	1183	1124	946
CITED1	7	3	1	7	4	8
HNRNPR	1168	1166	1098	1065	1147	1012
ZNF436	343	353	324	252	231	238
MAX	423	403	355	415	424	379
ARMCX5	140	139	119	149	158	153
GDF5	1	2	1	0	0	0
MMP24	2	3	5	6	6	6
NECAB3	295	277	239	316	310	242
ID1	454	432	390	324	323	274
RALY	709	655	647	809	791	709
DYNLRB1	72	75	65	78	80	74
EIF2S2	434	419	401	443	415	391
ERGIC3	566	526	503	519	510	505
ROMO1	120	120	100	96	111	99
CEP250	977	923	822	709	620	587
PLAGL2	1002	947	854	728	643	608
MMP24OS	97	93	92	141	132	106
KDM5C	1795	1750	1569	1473	1442	1313
AMOT	124	115	111	19	19	22
TMEM115	347	339	315	310	303	273
PSMB2	853	814	751	766	732	694
AGO3	709	673	615	538	514	510
UROD	286	303	277	400	379	368
ST3GAL3	97	74	77	54	54	52
TMEM53	63	54	50	48	37	41
HECTD3	241	220	185	271	276	249
KLC1	273	293	243	188	187	160
XRCC3	443	434	396	423	355	305
TUBGCP3	630	590	497	310	359	292
MCF2L	25	38	28	30	27	20
PCID2	509	492	457	259	279	241
LRFN3	214	199	177	181	168	150
IGFLR1	7	12	5	6	1	4
CAPNS1	651	611	593	600	588	564
PDCD2L	65	78	61	68	82	58
RBM42	447	413	359	402	410	351
KIRREL2	34	23	19	16	7	13
UBA2	892	895	851	724	747	700
HCST	1	3	2	1	4	1
COX6B1	263	260	231	215	218	215
THRA	265	254	221	258	249	254
CCR7	0	0	0	3	0	1
NR1D1	137	128	119	240	217	226
FRMD8	294	224	198	596	524	465
PRDX5	355	355	320	284	279	261
BCL2L12	242	254	237	261	263	223
IRF3	388	379	341	520	462	418
PRMT1	716	687	633	701	701	674
RRAS	195	206	157	154	169	144
PRRG2	13	16	12	8	11	10
SCAF1	1096	1080	1003	845	827	727
PRR12	1486	1395	1275	1226	1095	1013
FLRT1	5	1	4	1	2	0
ASL	154	154	119	173	181	176
SBDS	392	384	336	358	344	311
STAT5A	2	1	1	2	0	3
WNK4	19	27	16	14	12	15
BECN1	443	443	375	381	399	365
PRKCG	50	43	43	23	19	19
TRAP1	979	922	866	1107	1067	969
GLIS2	353	343	335	325	301	239
NSRP1	417	426	390	477	459	474
DNAJC8	449	434	405	376	399	378
AHDC1	506	501	466	433	377	360
IFI6	107	88	70	134	148	128
DACH2	4	0	1	5	3	2
ZNF384	564	536	511	600	531	511
EMG1	557	554	503	510	527	476
UXT	183	160	137	181	182	165
CFP	0	2	0	2	2	2
ELK1	466	467	425	535	505	468
TIMM17B	207	221	179	173	167	161
PCNX4	879	809	730	643	646	580
ATG14	244	221	213	229	250	231
KTN1	1748	1763	1623	1569	1624	1482
SIX1	1081	1096	985	217	206	195
DLGAP5	682	680	614	545	583	544
L3HYPDH	94	98	79	106	100	71
HSPA2	1	4	0	4	3	2
ZBTB1	486	425	428	361	390	391
TRMT5	320	305	258	230	247	234
SGPP1	186	219	224	191	239	216
PLEKHG3	500	455	399	828	726	693
PRDM7	0	2	1	2	0	1
RHOT1	332	282	286	236	256	181
DYNC2I1	356	377	329	282	258	244
AIF1L	410	384	329	618	561	565
FAM78A	264	262	254	220	221	179
NUP214	1511	1420	1297	1184	1181	1081
SLC10A3	196	194	164	274	249	225
MAP2K2	553	577	548	564	534	469
HNRNPH2	350	338	321	239	251	241
TMEM35A	14	13	7	0	0	1
TIMM8A	204	183	161	142	146	145
ZC4H2	201	166	147	107	81	92
CANX	2029	2019	1888	2064	2138	1935
INTS11	711	656	606	706	661	618
RGS13	54	56	52	0	0	0
IPPK	258	251	234	255	256	254
ZNF484	193	181	172	172	174	149
FGD3	3	9	6	31	19	18
HIVEP3	178	172	152	454	382	400
PPCS	200	193	193	201	235	194
COX7C	217	216	195	185	189	179
TRAF2	285	270	261	357	336	307
ABHD8	47	47	39	29	25	28
HELB	364	345	336	358	350	369
RAP1B	213	227	196	155	154	150
RAB3IP	54	53	43	7	7	6
DYRK2	829	867	709	625	674	610
YEATS4	146	141	132	116	129	101
TAS2R3	7	12	8	9	4	4
TAS2R4	10	14	13	5	7	8
TAS2R5	8	3	4	4	7	3
IDUA	68	67	51	59	62	46
FGFRL1	455	426	411	630	554	531
TMEM175	85	79	66	50	52	50
AUNIP	255	265	226	247	226	223
PIN1	289	268	238	255	228	205
FBXL12	186	190	166	205	219	179
EMC1	1261	1196	1059	958	958	874
UBR4	3723	3630	3200	3489	3296	3118
HP1BP3	1183	1152	1067	1156	1272	1137
ADGRE2	1	2	1	100	98	108
SIN3B	580	585	472	497	480	427
SLC35E1	634	613	560	649	627	563
EPS15L1	583	530	481	554	491	473
KLF2	58	40	53	162	150	115
UQCR11	165	172	166	134	126	110
GFER	303	291	245	281	240	230
SYNGR3	62	65	63	72	75	57
PKMYT1	426	418	349	498	515	420
WFIKKN1	3	7	7	5	3	1
WDR24	105	99	69	90	95	83
FBXL16	19	20	18	70	68	65
CHTF18	398	346	324	411	441	329
TUBBP1	74	75	76	80	73	70
MACF1	3577	3383	3053	2637	2557	2500
SMARCA4	2651	2636	2378	2661	2465	2324
KDM4B	369	371	286	303	308	262
TICAM1	133	118	118	221	204	175
METTL25	95	74	73	33	32	31
EMC6	201	197	167	167	159	147
METTL16	820	782	707	708	704	700
TUBA4A	9	8	6	0	0	1
VIL1	13	9	12	0	1	0
AAMP	677	647	588	592	549	521
PNKD	299	287	249	221	193	178
TNFRSF19	310	294	274	1217	1305	1122
RNF6	505	520	484	309	320	325
ECHS1	414	407	358	386	408	354
ZNF835	113	114	95	2	0	2
AKAP9	1039	953	872	851	789	865
GNG11	4	2	2	0	0	0
SEM1	205	196	178	152	163	150
HIP1	900	852	793	1041	892	892
PTPN12	715	666	654	463	528	481
POR	490	490	448	551	522	467
STYXL1	117	124	115	99	81	95
GNAI1	22	28	25	1043	1130	1066
PMS2P3	33	36	27	31	32	35
PEX1	195	190	140	124	130	108
MTERF1	187	172	168	177	165	154
SGCE	3	3	3	0	0	0
RBM48	150	162	143	111	111	123
CASD1	203	202	192	130	157	161
ZNF780B	384	386	294	209	240	221
LRFN1	190	187	135	205	185	158
ZFP36	227	251	222	213	200	191
SRD5A3	228	220	201	99	108	106
SPINK2	0	0	0	1	1	2
RASL11B	7	5	4	12	3	8
PAICS	1297	1325	1196	1287	1360	1191
PPAT	637	604	567	579	612	527
TUBGCP6	296	266	261	388	386	307
ADM2	233	211	187	60	53	33
DGCR6L	105	86	74	98	94	85
DGCR8	689	645	602	612	573	518
ASPHD2	47	37	34	120	135	130
VPREB3	1	1	2	0	2	0
SDF2L1	207	210	166	313	323	280
GAL3ST1	1	4	3	0	1	1
YWHAH	565	514	504	501	527	459
RFPL2	1	0	2	0	0	0
C22orf24	6	6	4	2	2	0
GNAZ	95	95	98	130	129	119
MGAT3	383	349	282	50	36	38
ADORA2A	7	1	2	2	0	0
ATF4	734	739	678	602	602	538
A4GALT	7	7	3	58	55	37
CDC42EP1	647	608	535	646	603	535
APOL3	60	48	51	0	0	0
TPST2	137	131	132	195	172	151
BAIAP2L2	3	2	1	1	0	1
MPST	314	306	257	365	401	311
GALR3	1	1	1	0	1	1
TST	80	82	67	64	65	56
APOL2	232	213	212	112	98	97
LIF	428	413	345	132	113	98
C22orf23	2	0	2	4	2	1
APOBEC3F	223	217	225	142	113	118
KRT17	2	4	0	0	0	0
EMC4	280	276	249	214	219	212
RNF112	0	2	2	0	0	0
SPECC1	524	537	498	300	273	268
CPA4	11	20	10	0	0	0
DOCK4	9	11	9	27	37	32
POT1	154	155	144	110	129	122
ATP6V1F	237	231	191	201	204	191
LSM8	423	458	419	215	284	230
CDHR3	74	63	63	64	76	71
PRKRIP1	250	242	221	200	189	190
VGF	356	326	305	36	28	36
PODXL	26	29	30	294	269	273
FOXP2	175	177	139	79	83	85
STRIP2	160	154	129	141	118	129
IFT22	225	222	178	181	189	185
MKLN1	1314	1324	1139	1065	1163	1088
DNAJB9	92	100	97	90	117	85
FLNC	1331	1303	1088	1	0	0
CALU	1225	1226	1139	1121	1166	1101
CCDC136	66	64	60	83	86	81
SMO	445	419	385	436	430	379
IRF5	1	4	2	0	0	0
LRRC17	2	2	2	0	0	0
KLHDC10	1124	1051	937	363	401	373
NDUFA5	228	241	215	125	156	159
MRPS12	388	343	297	321	302	270
MYO1B	286	246	244	264	270	266
HOXD1	2	1	0	0	0	1
HOXD3	18	15	14	0	0	0
MTX2	290	273	247	224	232	206
PDE11A	12	7	5	0	0	0
CHN1	123	110	99	27	16	22
GAD1	47	43	42	1	3	0
EIF2S2P4	152	146	143	141	140	131
OSGEPL1	158	147	140	132	153	119
ORMDL1	362	344	316	256	297	267
HAT1	650	632	582	621	665	639
HOXD9	39	36	30	0	0	0
HOXD10	9	5	8	0	0	0
HOXD13	5	2	4	0	0	0
HERC2	1831	1862	1556	1771	1642	1520
SNRPN	81	78	65	56	63	48
PSMG2	242	257	216	226	234	201
TWSG1	364	385	353	337	376	317
ARHGAP22	12	6	7	101	106	93
EIF2AK4	1055	964	906	848	864	803
MYO5C	9	7	12	0	3	0
CGNL1	9	10	6	0	4	6
TMOD2	30	31	22	19	17	7
TTBK2	307	319	317	211	225	244
ELL3	2	4	1	3	8	5
CCDC32	131	121	144	138	134	136
INO80	720	666	630	771	725	689
ICE2	704	645	588	586	664	603
DLL4	14	17	13	26	23	24
ALDH1A2	26	40	28	1	3	0
MINDY2	349	370	297	239	221	238
IVD	489	489	405	596	558	482
KNSTRN	403	387	320	417	416	382
DUT	453	431	377	362	402	340
CHAC1	309	308	287	95	81	73
CLN6	440	385	377	392	366	342
ARPP19	1199	1239	1048	921	1030	914
VPS13C	774	694	682	482	488	488
CALML4	9	5	5	8	2	5
THAP10	67	61	65	26	42	34
LOXL1	3	0	2	1	0	0
ANAPC13	315	302	236	263	299	242
MBD4	374	347	309	318	335	303
COPB1	1042	1030	921	834	902	752
PSMA1	155	151	142	140	145	115
SUMF2	584	576	476	499	476	435
PALLD	319	299	265	4	2	7
SPCS3	1084	1106	1005	1157	1373	1204
SERGEF	64	62	55	73	77	73
KCNC1	22	16	15	1	1	1
TPH1	8	10	8	1	3	4
E2F8	278	255	252	218	246	251
DCTD	499	492	446	558	562	495
SOX15	4	3	2	2	2	1
PIMREG	250	253	221	307	304	280
RPAIN	325	291	279	241	221	227
SHBG	5	3	5	1	3	0
PLD2	140	120	139	138	138	150
CD68	4	1	2	1	1	0
TXNDC17	221	210	186	209	226	209
ATP1B2	35	39	29	4	13	10
FXR2	595	590	577	526	477	457
KIF1C	1561	1514	1428	1973	1846	1743
MPDU1	335	324	299	318	338	294
PHF20L1	529	479	433	525	565	512
LRRC6	1	1	0	8	8	7
CCNT1	904	945	793	731	762	704
PUS7L	50	53	45	113	165	156
KRI1	491	456	405	661	614	614
ILF3	2801	2742	2519	2610	2577	2418
SLC44A2	355	315	297	87	90	91
AP1M2	6	3	7	6	7	1
CDKN2D	21	20	17	21	32	30
MTUS1	1299	1273	1158	1	0	2
KLK14	1	5	2	1	0	1
NGDN	235	251	205	200	211	210
RAB2B	198	175	191	168	183	190
BCL2L2	326	280	258	384	392	354
AJUBA	683	645	589	626	635	567
DTD2	181	186	164	102	132	119
PARP2	375	351	343	271	280	271
HEATR5A	220	233	204	151	207	166
FOXA1	2	2	1	43	60	46
SNX6	377	356	325	291	355	307
EAPP	160	141	142	91	71	78
EGLN3	6	9	10	0	0	1
MIS18BP1	476	477	420	372	421	440
NRL	11	4	10	8	7	13
NEDD8	193	164	164	124	133	136
DAD1	186	208	176	183	170	148
TEP1	234	235	189	164	151	136
EPB41L4A	2	1	2	28	31	33
CDO1	33	34	26	73	70	84
REEP5	501	466	385	387	419	379
ITFG1	256	277	238	199	184	220
QRICH2	109	113	93	74	70	65
FOXJ1	1	1	1	3	1	2
SEC14L1	863	866	773	809	750	758
RHBDF2	138	157	125	216	183	185
AANAT	0	0	2	0	1	3
ARHGEF6	71	71	73	24	19	23
MAP7D3	522	471	487	531	556	537
FGF13	0	0	0	3	5	2
ASH2L	442	430	403	338	368	342
TTI2	130	104	109	104	99	106
CHRNA10	20	13	17	7	11	15
CDKN1C	10	19	19	10	15	7
SGO1	266	277	231	233	226	239
CDH15	4	2	9	25	28	28
KLF16	397	386	363	506	509	460
PGAP6	500	465	457	610	539	463
DOHH	276	245	225	326	285	240
MAU2	473	463	357	364	339	290
SHC2	68	68	56	11	8	3
PLPPR3	258	263	238	213	173	153
ABHD17A	207	175	185	250	239	201
SYT5	171	175	167	253	269	236
TNNI3	4	4	3	4	5	5
CBFA2T3	19	15	18	61	62	54
GAMT	379	387	306	294	328	260
PUDP	277	245	208	144	144	121
ERMARD	67	86	50	64	80	78
PHF10	457	466	422	429	408	404
GALNT8	0	4	1	5	4	4
CRACR2A	7	7	6	11	13	7
NXNL2	23	16	16	13	14	6
STARD8	10	8	10	2	3	1
FAM155B	162	182	160	197	167	159
SAT1	39	35	43	84	89	87
GNL3L	1184	1205	1073	1289	1223	1187
SH3BP4	725	653	592	34	36	34
MOSPD2	88	91	98	96	94	78
DOCK6	244	240	276	343	349	289
ECSIT	309	335	285	315	304	255
LDLR	615	625	505	641	602	557
ELOF1	309	304	297	335	280	296
PRKCSH	1142	1081	1000	1118	1066	1004
CNN1	330	304	273	2	0	4
CDC16	533	529	519	283	303	304
ZSCAN10	8	7	8	4	3	1
THEM6	217	196	183	241	210	196
NECTIN2	633	611	548	332	354	284
APOE	573	613	519	41	46	40
TOMM40	745	713	679	687	636	561
APOC1	92	91	92	62	59	48
XPO7	1094	1048	961	844	855	804
FAM98C	98	92	94	170	156	125
SAFB2	795	770	688	706	679	634
RPL36	376	383	340	413	395	387
ATP8B3	3	2	7	86	103	90
NCAN	8	6	2	2	3	0
KIF1A	1032	970	844	1030	919	833
GTPBP3	365	369	331	495	503	456
BST2	443	452	414	0	0	0
SLC27A1	65	56	51	83	85	62
NSUN5	223	233	189	217	243	187
USHBP1	2	1	3	0	1	1
COLGALT1	921	864	783	947	928	826
DDA1	330	307	273	257	237	240
MRPL34	237	247	195	221	223	181
PGLS	248	214	191	248	249	200
LSM7	291	251	221	233	239	211
TULP4	605	544	495	646	673	623
SNX9	315	310	296	278	324	293
RTN4IP1	148	145	132	89	119	111
QRSL1	387	375	342	353	368	370
MTRES1	136	116	100	78	80	80
RSPH3	57	52	44	64	81	57
MLLT1	850	818	749	884	794	739
BMP15	4	1	1	0	0	0
AFDN	650	611	586	522	491	539
ACTN4	1495	1423	1352	1429	1384	1256
STK33	123	101	105	33	27	33
NDUFA10	724	675	651	731	713	627
EPO	0	1	1	1	2	0
ARPC1B	58	60	64	71	76	64
CACNG6	1	3	4	0	0	0
ZSWIM6	271	270	249	220	214	198
FCHO1	244	223	188	64	51	42
UNC13A	1980	1976	1722	1397	1337	1238
MAP1S	428	424	376	362	344	288
KLHDC7B	3	4	4	4	2	3
SSBP4	505	485	437	582	539	463
GDF15	182	151	151	62	53	46
PGPEP1	92	121	91	56	64	60
IQCN	30	16	14	7	10	3
LSM4	442	423	416	390	415	342
JUND	525	560	483	493	466	418
HRC	36	37	29	2	2	2
TRPM4	193	180	172	142	173	126
SULT4A1	85	74	79	116	95	84
ZNF557	393	357	356	381	351	360
CRB3	3	2	1	1	1	0
OLFM1	1	0	0	29	22	26
CAMSAP1	1168	1157	1074	1219	1194	1121
UBAC1	381	384	355	287	290	244
ZBTB46	105	87	78	41	38	31
HELZ2	235	249	196	131	128	106
SAMD10	50	48	56	0	2	1
TNNT3	1	0	3	0	1	1
COL5A1	28	26	26	35	24	29
ATXN10	695	654	606	537	565	501
TUBGCP2	469	437	392	490	471	414
CALY	23	26	21	8	6	4
CYP2E1	18	19	15	10	5	9
PNPLA7	25	32	24	20	20	17
HBZ	1	0	1	1	1	0
PAK4	468	398	381	409	367	333
MNX1	0	1	0	76	75	81
ZNF337	285	237	230	303	276	283
CEP85	534	503	445	534	568	512
TAF4	428	393	378	457	481	448
GATA5	67	64	68	25	15	21
LAMA5	836	761	721	653	619	568
OSBPL2	299	296	246	188	171	141
ADRM1	595	590	536	667	635	590
ASS1	120	116	90	0	0	0
PRDM12	4	3	2	4	8	2
EXOSC2	611	632	521	528	560	494
POMT1	253	241	239	416	390	319
UCK1	230	237	195	155	157	142
FIBCD1	11	8	10	17	25	22
CHMP2A	238	207	227	230	211	194
UBE2M	400	392	379	399	433	378
TRIM28	1673	1683	1495	1548	1466	1373
METTL26	217	212	196	242	242	204
YIPF2	107	116	94	69	86	78
ATG4D	133	125	93	104	118	80
EIF2S3	1195	1187	1040	1092	1175	1048
TMEM160	137	125	123	101	129	85
ZC3H4	1301	1275	1212	1056	1035	928
NPAS1	145	143	118	422	393	351
GMFG	3	4	1	0	0	2
MAP3K10	70	79	74	94	80	67
ARHGEF16	17	17	17	18	12	15
LRRC47	603	578	511	521	507	481
SESN2	788	726	672	267	249	209
SMPDL3B	20	13	16	21	17	14
ATP5IF1	254	270	236	223	245	226
MED18	162	155	135	133	142	141
THEMIS2	25	33	23	51	50	42
CLIP1	970	896	879	873	854	825
CCDC62	18	14	13	24	19	21
HIP1R	339	316	301	326	305	276
ZNF317	604	580	516	537	536	490
PPAN	119	116	100	150	133	101
EIF3G	580	583	528	603	595	573
ANGPTL6	5	7	3	1	5	4
SHFL	121	100	96	75	63	67
DNMT1	1961	1889	1718	1837	1858	1705
ZNF426	6	7	6	5	2	7
SLC6A8	503	474	420	637	631	542
PNCK	5	2	2	5	3	0
DKC1	837	845	759	918	900	826
PLXNA3	250	261	195	478	422	341
DUSP9	38	41	33	204	190	174
MPP1	132	133	112	135	128	144
ZNF331	322	296	269	282	280	268
ZNF236	459	378	379	418	408	369
SLC7A10	5	10	7	0	1	0
LRP3	381	359	343	330	300	273
C12orf65	264	242	195	243	218	220
NOL11	691	666	624	621	648	575
UBE4B	1181	1183	1065	1014	1004	914
CASZ1	868	813	737	111	100	85
HABP4	304	301	253	270	296	293
FBP2	4	1	1	1	1	1
SLC35D2	42	40	41	35	34	34
PRRG1	167	191	155	159	185	189
UBA1	1661	1670	1454	1903	1843	1693
POLN	10	15	7	7	6	14
PPIL4	223	224	221	166	166	178
AKAP12	690	682	579	939	935	914
SYNE1	124	117	110	48	45	32
ULBP3	11	3	11	21	13	8
LATS1	489	503	434	357	365	367
EPS8L1	82	89	82	84	78	68
AAR2	355	323	280	296	267	252
TTLL9	2	2	3	2	0	3
RBM39	1334	1405	1256	1109	1163	1045
ZNF341	118	99	99	133	118	108
GGT7	130	144	125	133	153	123
ACSS2	155	170	133	216	197	193
EDA2R	183	168	168	79	100	100
ARHGEF9	312	312	289	244	253	260
C1QL1	109	91	109	210	163	146
ATP6V1E1	391	360	333	264	267	255
ZNF227	256	208	234	263	257	247
ZNF428	182	164	153	134	111	103
ZNF141	376	382	343	160	169	160
COX4I1	517	503	433	388	389	353
EMC8	455	430	369	371	355	310
GSE1	1101	1040	958	1536	1469	1301
GINS2	423	394	360	277	279	260
CHMP1A	501	477	419	565	549	463
SH3BGRL	238	253	213	102	132	127
COX7B	234	191	208	199	201	166
F12	109	106	94	222	246	184
PRR7	153	154	132	156	153	132
NFATC1	0	1	1	464	434	362
IDO1	2	7	8	0	0	0
CAP1	992	943	871	983	979	867
PPT1	876	853	799	795	882	750
RAB11FIP4	64	62	48	165	146	144
RLIM	1110	1096	993	762	822	748
ABCB7	313	307	299	237	246	233
TRAF3	828	746	740	668	609	573
HAUS8	210	213	185	260	247	221
MRPS25	770	733	655	576	589	531
SH3BP5	85	72	67	215	207	208
HACL1	141	126	138	127	132	115
TBC1D5	1052	986	925	921	982	870
CAPN7	453	442	368	427	480	462
RFTN1	42	33	36	104	74	76
C3orf20	3	2	2	2	1	0
RBSN	538	491	426	519	499	465
SLC6A6	300	316	263	337	334	324
KCNC3	640	604	559	626	572	549
NAPSA	3	6	6	4	12	8
NR1H2	346	341	283	423	374	354
LRRC4B	237	247	256	50	43	35
PDLIM4	40	41	40	70	84	67
KIF3A	358	383	346	318	299	363
MGAT1	713	680	610	634	588	551
GFPT2	119	111	97	52	40	49
TUBG1	550	507	492	501	497	462
PSME3	1135	1082	997	1149	1143	1066
RPL27	370	352	312	342	360	341
PSMC3IP	264	260	245	262	247	252
AOC3	11	11	13	6	7	12
ACLY	1777	1677	1591	1941	1857	1744
VPS25	321	293	272	218	224	214
AOC2	33	27	39	37	35	37
NDUFA2	183	172	138	128	112	112
ANKHD1	44	46	37	24	39	43
DIAPH1	1400	1343	1176	1294	1261	1168
NDFIP1	448	449	364	415	458	404
UBE2D2	549	541	489	470	491	473
EXOC4	514	502	454	413	428	403
ACAP3	268	271	235	244	232	196
C1orf159	255	230	201	236	222	194
ANO1	0	1	1	5	7	3
PPFIA1	778	756	704	724	703	667
KREMEN2	340	352	268	339	305	260
THOC6	275	265	236	296	285	254
TRAF7	799	753	646	921	910	774
BARX1	0	0	2	158	162	140
NINJ1	262	253	231	258	244	212
NPHP4	296	263	224	298	266	258
MAP1B	2478	2389	2158	1223	1147	1279
IL13RA1	501	520	456	454	533	476
WDR44	238	208	224	168	164	175
ZCCHC9	319	281	259	217	227	222
TOP2A	1950	1983	1773	1991	2092	1924
STARD3	316	280	242	272	248	241
RARA	395	395	327	394	402	354
KHDRBS3	4	5	5	706	718	702
CHD1L	67	71	43	59	55	66
PEX11B	96	88	80	83	88	92
FMO5	5	4	3	16	13	15
PIAS3	493	486	438	393	377	385
PRKAB2	377	397	332	299	286	308
CLUHP3	149	157	124	83	91	87
PDHA1	637	597	570	577	557	553
MCCC2	808	759	673	528	550	481
ZNF304	199	198	162	165	170	151
ZSCAN5A	94	90	80	55	67	68
SELENOS	193	183	170	261	268	244
CHSY1	640	656	571	732	712	729
SNRPA1	211	182	169	223	206	182
LLGL1	447	469	419	301	283	222
LIN28A	1110	1076	950	0	0	1
THAP1	132	117	142	141	174	139
RHPN2	256	212	206	222	229	243
C19orf12	261	254	203	183	228	200
FAAP24	60	64	59	98	91	105
ACTR10	239	237	220	160	199	168
GCH1	69	67	52	97	104	96
PODNL1	21	16	17	15	10	15
DNAJB1	800	750	704	846	829	759
ZSWIM4	61	61	50	34	34	38
FBXW9	143	129	96	148	135	118
RFX1	345	352	293	340	314	307
ZNF20	11	7	10	7	8	8
BRME1	55	41	33	75	67	54
DCAF15	451	428	354	407	388	312
CC2D1A	309	251	263	355	322	315
RTBDN	140	123	108	67	74	72
TRIM21	153	138	141	64	61	41
SPATA6	242	236	216	154	195	192
LRRC41	881	922	795	753	698	643
CCT6B	8	8	10	2	5	5
DHX30	1267	1215	1121	1165	1139	1017
RAF1	877	877	780	901	877	802
PPARG	1	0	0	61	66	66
NUP210	1413	1312	1152	1189	1080	973
HSD17B7	52	41	42	78	68	58
ENOSF1	546	532	473	494	502	442
EMILIN2	12	8	7	2	1	5
ARFIP2	364	346	335	393	375	331
TRIM5	180	144	116	96	118	92
CNGA4	1	1	1	1	1	0
TRIM22	28	13	20	0	1	0
RRP8	328	286	277	284	285	257
TIMM10B	318	301	260	259	274	267
EFR3A	748	675	634	672	746	666
PTCD3	992	965	809	795	822	783
IMMT	875	883	787	803	791	724
MRPL35	402	394	348	308	322	293
ILKAP	293	294	261	262	280	265
PER2	380	366	315	342	345	330
SCLY	146	134	136	121	139	134
PTPRE	2	2	3	65	58	48
RAN	849	823	790	823	862	795
PRKAA1	647	613	578	600	665	601
CARD6	1	1	1	1	2	0
RAP1GAP2	599	523	471	318	295	243
CLUH	1316	1276	1187	1502	1445	1257
INPP5K	150	133	117	110	95	72
MYBBP1A	1368	1368	1201	1740	1676	1531
RPA1	991	983	879	929	905	815
SERPINF1	474	476	440	389	379	327
UBE2G1	739	751	652	629	665	645
EEFSEC	145	137	140	105	108	94
TBC1D14	841	811	741	817	783	751
TMEM128	91	97	83	87	72	67
COQ3	127	113	84	83	93	75
PNISR	1385	1337	1321	1038	1084	1068
POPDC3	137	129	128	136	149	158
SEC61G	132	109	107	104	113	102
LANCL2	379	353	314	289	259	244
FIGNL1	279	282	251	287	291	289
DDC	0	2	0	1	2	1
GRSF1	976	928	874	1088	1120	1039
ENAM	3	2	0	0	1	0
ANKRD17	2072	2063	1879	1695	1710	1652
UTP3	343	342	318	350	370	334
ITGB4	6	7	6	20	18	16
WBP2	356	341	327	177	165	164
H3-3B	722	692	661	541	578	531
UNK	383	372	334	272	257	284
TRIM47	2	3	1	1	1	0
ZRANB2	715	727	676	544	593	559
EIF5A	707	691	646	673	659	639
KDM6B	803	742	713	635	567	528
GPS2	43	33	24	37	34	35
XAF1	136	131	142	6	5	7
DLG4	562	550	517	574	544	493
RIDA	138	138	115	115	141	120
VPS13B	1097	1040	939	1256	1303	1255
RGS22	8	1	4	0	0	0
MATN2	31	35	35	63	77	61
REEP2	265	261	248	495	461	373
PCBD2	84	96	86	102	119	111
SDF2	172	190	179	174	171	160
